"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"75"	93	1214	1050	122	195	116	31	26	32	172	19	2	0	2	0	0	0	0	0	0	0	0	0	0	7
"76"	355	1406	3122	1399	175	186	1242	1234	915	43	372	29	126	14	33	7	135	2	2	6	41	4	0	8	2
"77"	174	1660	6236	2106	727	293	2441	1284	1388	209	319	207	220	163	298	133	739	220	249	203	107	636	209	883	278
"78"	419	0	0	2171	266	0	8	1339	1341	305	0	0	0	0	0	0	0	0	4	9	0	2	0	0	0
"79"	212	154	1139	260	95	158	616	1058	275	131	263	24	46	34	57	4	46	6	4	12	8	0	5	0	0
"80"	128	1579	1466	1266	217	470	505	597	495	8631	140	14	4	95	48	8	80	26	7	2	2	198	13	209	123
"81"	245	17089	6401	6182	683	581	5698	3202	3031	1924	724	130	210	160	196	181	220	127	137	35	259	232	134	107	365
"82"	416	4277	6666	3983	520	770	2256	2037	1434	744	1020	29	96	112	95	38	202	16	8	18	6	57	20	391	911
"83"	191	2509	1843	2342	166	198	1539	1427	1248	404	417	2	35	26	26	0	96	2	2	6	3	16	0	7	20
"84"	175	164	614	1066	43	95	284	224	171	266	220	4	46	8	14	4	40	4	0	4	4	8	0	6	0
"85"	179	735	844	395	166	284	305	243	165	128	318	6	78	11	43	5	112	6	0	2	0	18	2	18	25
"86"	73	0	2147	2	141	0	0	0	0	0	0	0	9	0	8	0	26	4	0	0	0	3	0	0	0
"87"	196	449	758	162	18	50	432	212	87	73	74	9	12	34	9	0	19	0	3	0	0	0	0	2	2
"88"	327	3530	4916	3718	387	508	1679	1381	893	726	835	40	97	85	74	33	107	33	6	6	16	32	9	113	190
"89"	569	1246	4030	1315	279	480	1503	655	302	275	556	18	45	89	82	14	44	18	8	6	8	14	6	10	7
"90"	540	1440	3038	2692	524	698	1388	1380	966	745	757	30	234	54	52	26	572	60	11	12	10	193	8	50	112
"91"	850	23708	32100	17289	1815	4698	10736	12229	7577	4121	4159	523	945	1035	1173	427	1055	164	163	76	76	627	168	1293	2191
"92"	211	962	2517	701	80	231	1119	448	205	172	316	11	36	19	37	2	37	5	0	0	2	2	0	8	24
"93"	298	11703	4422	8152	836	1208	5213	4517	2593	1857	2307	104	219	162	160	169	313	90	35	113	34	421	67	295	1041
"94"	291	1336	3025	1201	221	259	1370	1176	598	364	508	8	58	31	48	6	98	7	2	9	0	5	4	2	18
"95"	71	747	1181	547	57	71	424	427	582	136	285	4	68	210	48	7	21	2	12	0	5	8	0	30	71
"96"	84	26	318	62	2	9	20	53	27	11	5	5	0	7	8	0	6	0	6	0	0	11	5	2	6
"97"	323	5396	3439	10164	13368	14379	55540	12735	17760	11031	10631	1879	3179	6369	2857	954	2447	3869	752	832	1435	4627	3508	2579	1382
"98"	290	1339	906	229	481	214	59	545	226	406	403	673	1015	564	297	328	894	1382	318	305	272	577	864	760	801
"99"	587	6628	7018	3164	943	1667	4912	1824	1750	1207	1739	188	204	207	251	47	152	79	25	14	98	211	45	99	188
"100"	594	123579	4163	182021	386752	795311	495	48871	41134	90537	419927	3303	5462	88631	21941	2290	3361	3458	3503	826	1105	1588	971	3483	12352
"101"	84	0	0	2	0	8	4	0	313	234	7	0	7	0	2	2	0	0	0	0	0	13	0	2	22
