"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"119"	"Bacteria"	"Candidatus Nealsonbacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"120"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"121"	"Bacteria"	"Candidatus Pacebacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"122"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"
"123"	"Bacteria"	"Candidatus Desantisbacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"124"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Unknown"
"125"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Sporomusa"
"126"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Unknown"	"Unknown"	"Unknown"
"127"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"128"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Paraeggerthella"
"129"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Gallionellaceae"	"Unknown"
"130"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Unknown"	"Unknown"
"132"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Unknown"
"133"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Unknown"	"Unknown"
"134"	"Bacteria"	"Candidatus Nomurabacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"135"	"Bacteria"	"Tenericutes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"136"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sediminispirochaeta"
"137"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Unknown"
"138"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Unknown"
