Kingdom	Phylum	Order	Class	Family	Genus
78	k.Bacteria	p.Firmicutes	o.Erysipelotrichia	c.Erysipelotrichales	f.Erysipelotrichaceae	unclassified.Erysipelotrichaceae
79	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodospirillales	NA	NA
80	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Oxalobacteraceae	NA
81	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	c.Flavobacteriales	NA	NA
82	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Rhodocyclales	f.Rhodocyclaceae	g.Rugosibacter
83	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Acidovorax
84	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Xanthomonadales	f.Xanthomonadaceae	g.Arenimonas
85	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	c.Flavobacteriales	f.Crocinitomicaceae	unclassified.Crocinitomicaceae
86	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Rhodocyclales	f.Azonexaceae	g.Dechloromonas
87	k.Eukaryota	NA	NA	NA	NA	NA
88	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Malikia
89	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Sphingomonadales	f.Sphingomonadaceae	NA
90	k.Bacteria	p.Proteobacteria	o.Oligoflexia	NA	NA	NA
91	unmapped	NA	NA	NA	NA	NA
92	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Rhodocyclales	NA	NA
93	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	unclassified.Epsilonproteobacteria	NA	NA
94	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Rhodocyclales	f.Rhodocyclaceae	NA
95	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	unclassified.Burkholderiales	unclassified.Burkholderiales
96	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodospirillales	f.Acetobacteraceae	NA
97	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Rhodocyclales	f.Zoogloeaceae	g.Zoogloea
98	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Sphingomonadales	NA	NA
99	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	NA	NA	NA
100	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	c.Flavobacteriales	unclassified.Flavobacteriales	unclassified.Flavobacteriales
101	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodobacterales	NA	NA
102	k.Bacteria	p.Proteobacteria	o.Oligoflexia	c.Bdellovibrionales	f.Bdellovibrionaceae	g.Bdellovibrio
103	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	unclassified.Gammaproteobacteria	unclassified.Gammaproteobacteria	sp.Gammaproteobacteria.bacterium.28-57-27
104	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Macromonas
105	k.Bacteria	p.Bacteroidetes	o.Sphingobacteriia	unclassified.Sphingobacteriia	NA	NA
106	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Pseudomonadales	f.Moraxellaceae	NA
107	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodospirillales	f.Acetobacteraceae	g.Roseococcus
108	k.Bacteria	PVC.group	p.Verrucomicrobia	o.Verrucomicrobiae	c.Verrucomicrobiales	f.Verrucomicrobiaceae
109	k.Bacteria	p.Proteobacteria	o.Oligoflexia	c.Bacteriovoracales	f.Bacteriovoracaceae	g.Bacteriovorax
110	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	unclassified.Alphaproteobacteria	unclassified.Alphaproteobacteria	sp.Alphaproteobacteria.bacterium.RIFCSPHIGHO2
