"Kingdom"	"Superphylum"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"bp_ASV_000012"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"marine_metagenome"
"bp_ASV_000091"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ia"	"uncultured_bacterium"
"bn_ASV_000020"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium_PCC-6307"	"uncultured_bacterium"
"ep_ASV_00034"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"en_ASV_00183"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"bp_ASV_000100"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"bp_ASV_000391"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"bn_ASV_000095"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiales_S25-593"	"Rickettsiales_S25-593"	"uncultured_bacterium"
"ep_ASV_00033"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000196"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales_NS9"	"Flavobacteriales_NS9"	"uncultured_marine_bacterium"
"bn_ASV_000031"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"Synechococcus_sp._WH_7805"
"bp_ASV_000005"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"uncultured_bacterium"
"bp_ASV_000009"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"uncultured_marine_cyanobacterium"
"bp_ASV_000036"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aurantivirga"	"uncultured_bacterium"
"bn_ASV_000045"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"en_ASV_00241"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"en_ASV_00027"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Gyrodinium"	"Gyrodinium_spirale"
"en_ASV_00068"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"en_ASV_00274"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000022"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"bp_ASV_000011"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter"	"uncultured_bacterium_HF0500_24B12"
"en_ASV_00214"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Torodiniales"	"Torodiniaceae"	"Torodinium"	"Torodinium_teredo"
"bp_ASV_000092"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ib"	"uncultured_marine_bacterium"
"bp_ASV_000146"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"ep_ASV_00062"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000155"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Thiotrichaceae_X"	"uncultured_bacterium"
"bn_ASV_000041"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_IV"	"SAR11_Clade_IV"	"uncultured_marine_bacterium"
"bp_ASV_000133"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_II"	"SAR11_Clade_II"	"uncultured_bacterium"
"bp_ASV_000023"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Roseibacillus"	"uncultured_marine_bacterium"
"bn_ASV_000038"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bn_ASV_000070"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"Cryomorphaceae_X"	"uncultured_marine_bacterium"
"bp_ASV_000095"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiales_S25-593"	"Rickettsiales_S25-593"	"uncultured_bacterium"
"ep_ASV_00001"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Bathycoccaceae"	"Bathycoccus"	"Bathycoccus_prasinos"
"ep_ASV_00067"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Torodiniales"	"Torodiniaceae"	"Torodinium"	"Torodinium_teredo"
"en_ASV_00118"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Heterocapsaceae"	"Heterocapsa"	"Heterocapsa_sp"
"en_ASV_00198"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"ep_ASV_00061"	"Eukaryota"	"Hacrobia"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_XXX"	"Picozoa_XXXX"	"Picozoa_XXXX_sp"
"en_ASV_00168"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"bn_ASV_000083"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Formosa"	"uncultured_marine_bacterium"
"bp_ASV_000022"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"bn_ASV_000091"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ia"	"uncultured_bacterium"
"bp_ASV_000013"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Glaciecola"	"Glaciecola_sp._HTCC2999"
"ep_ASV_00020"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"ep_ASV_00003"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"en_ASV_00384"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Cerataulina"	"Cerataulina_pelagica"
"bn_ASV_000129"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	"uncultured_Pseudoalteromonas_sp"
"bp_ASV_000052"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bn_ASV_000018"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Prochlorococcus_MIT9313"	"uncultured_marine_cyanobacterium"
"bn_ASV_000025"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"uncultured_bacterium"
"bn_ASV_000125"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"en_ASV_00365"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Prorocentrales"	"Prorocentraceae"	"Prorocentrum"	"Prorocentrum_sp"
