"Kingdom"	"Superphylum"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ep_ASV_00447"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-7"	"Syndiniales-Group-II-Clade-7_X"	"Syndiniales-Group-II-Clade-7_X_sp"
"ep_ASV_00489"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Thecofilosea"	"Cryomonadida"	"Cryothecomonas-lineage"	"Cryothecomonas"	"Cryothecomonas_aestivalis"
"ep_ASV_00706"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
"ep_ASV_00793"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Tontoniidae_A"	"Tontoniidae_A_X"	"Tontoniidae_A_X_sp"
"ep_ASV_00986"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000446"	"Bacteria"	"Chloroflexi"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidia_SAR202"	"Dehalococcoidia_SAR202"	"Dehalococcoidia_SAR202"	"uncultured_bacterium"
"bn_ASV_000548"	"Archaea"	"Euryarchaeota"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"uncultured_archaeon"
"bn_ASV_000678"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	"uncultured_gamma_proteobacterium"
"bn_ASV_001274"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"CL500-3"	"uncultured_bacterium"
"bp_ASV_000746"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"Halieaceae_OM60"	"uncultured_gamma_proteobacterium_HF0010_05D02"
"bp_ASV_000822"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_marine_bacterium"
"en_ASV_01126"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Chaetoceros"	"Chaetoceros_sp"
"en_ASV_01966"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
"ep_ASV_00348"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Bathycoccaceae"	"Ostreococcus"	"Ostreococcus_lucimarinus"
"ep_ASV_00387"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00748"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-6"	"Syndiniales-Group-II-Clade-6_X"	"Syndiniales-Group-II-Clade-6_X_sp"
"ep_ASV_00752"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-44"	"Syndiniales-Group-II-Clade-44_X"	"Syndiniales-Group-II-Clade-44_X_sp"
"ep_ASV_00851"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Thecofilosea"	"Cryomonadida"	"Protaspa-lineage"	"Protaspa-lineage_X"	"Protaspa-lineage_X_sp"
"ep_ASV_00999"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Phyllopharyngea"	"Cyrtophoria"	"Chlamydodontidae"	"Chlamydodon"	"Chlamydodon_sp"
"bn_ASV_000299"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Litoricolaceae"	"Litoricola"	"uncultured_bacterium"
"en_ASV_01404"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
"en_ASV_01461"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"en_ASV_01715"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000539"	"Archaea"	"Euryarchaeota"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"uncultured_archaeon"
"bn_ASV_000861"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Blastomonas"	"Blastomonas_sp._CACIA14H2"
"bn_ASV_000911"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Magnetospiraceae"	"Magnetospiraceae_X"	"uncultured_alpha_proteobacterium"
"en_ASV_01041"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-6"	"Syndiniales-Group-II-Clade-6_X"	"Syndiniales-Group-II-Clade-6_X_sp"
"en_ASV_01697"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Leegaardiellidae_B"	"Leegaardiella"	"Leegaardiella_sp"
"en_ASV_01764"	"Eukaryota"	"Hacrobia"	"Telonemia"	"Telonemia_X"	"Telonemia_XX"	"Telonemia-Group-2"	"Telonemia-Group-2_X"	"Telonemia-Group-2_X_sp"
"ep_ASV_00125"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-32"	"Syndiniales-Group-II-Clade-32_X"	"Syndiniales-Group-II-Clade-32_X_sp"
"ep_ASV_00199"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Chlorodendrophyceae"	"Chlorodendrales"	"Chlorodendraceae"	"Tetraselmis"	"Tetraselmis_sp"
"ep_ASV_00330"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00473"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Mamiellaceae"	"Micromonas"	"Micromonas_Clade-B.E.3"
"ep_ASV_00608"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-15"	"Syndiniales-Group-II-Clade-15_X"	"Syndiniales-Group-II-Clade-15_X_sp"
"ep_ASV_00856"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellatea"	"Acanthoecida"	"Stephanoecidae_Group_H"	"Stephanoecidae_Group_H_X"	"Stephanoecidae_Group_H_X_sp"
"ep_ASV_00864"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Tontoniidae_B"	"Pseudotontonia"	"Pseudotontonia_sp"
"bn_ASV_000482"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Salegentibacter"	"uncultured_Bacteroidetes_bacterium"
"bn_ASV_000586"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"Pelagicoccus"	"uncultured_bacterium"
"bn_ASV_001186"	"Bacteria"	"Firmicutes"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"metagenome"
"bn_ASV_001402"	"Bacteria"	"Firmicutes"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	"uncultured_bacterium"
"en_ASV_01475"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Skeletonema"	"Skeletonema_pseudocostatum"
"en_ASV_01519"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Ceratoperidiniaceae"	"Ceratoperidinium"	"Ceratoperidinium_falcatum"
"en_ASV_01554"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"en_ASV_01641"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Tontoniidae_B"	"Tontoniidae_B_X"	"Tontoniidae_B_X_sp"
"en_ASV_01665"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Thalassiosira"	"Thalassiosira_profunda"
"en_ASV_01796"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_B"	"Strombidiidae_B_X"	"Strombidiidae_B_X_sp"
"en_ASV_01923"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellatea"	"Acanthoecida"	"Stephanoecidae_Group_H"	"Stephanoecidae_Group_H_X"	"Stephanoecidae_Group_H_X_sp"
"ep_ASV_00705"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellida_X"	"Choanoflagellida_XX"	"Choanoflagellida_XX_Clade-3"	"Choanoflagellida_XX_Clade-3_X"	"Choanoflagellida_XX_Clade-3_X_sp"
"ep_ASV_00767"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-1"	"Syndiniales-Group-II-Clade-1_X"	"Syndiniales-Group-II-Clade-1_X_sp"
"ep_ASV_00895"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-3"	"MAST-3J"	"MAST-3J_X"	"MAST-3J_X_sp"
"en_ASV_01704"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-11"	"MAST-11_X"	"MAST-11_XX"	"MAST-11_XX_sp"
"ep_ASV_00095"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00631"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Dictyochophyceae"	"Dictyochophyceae_X"	"Pedinellales"	"Pedinellales_X"	"Pedinellales_X_sp"
"ep_ASV_00914"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_J"	"Strombidiidae_J_X"	"Strombidiidae_J_X_sp"
"ep_ASV_01039"	"Eukaryota"	"Hacrobia"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_XXX"	"Picozoa_XXXX"	"Picozoa_XXXX_sp"
"ep_ASV_01413"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"bn_ASV_000499"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"en_ASV_01737"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-9"	"MAST-9A"	"MAST-9A_X"	"MAST-9A_X_sp"
"ep_ASV_01153"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Fungi_X"	"Fungi_XX"	"Fungi_XXX"	"Fungi_XXXX"	"Fungi_XXXX_sp"
"ep_ASV_01420"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-3"	"MAST-3E"	"MAST-3E_X"	"MAST-3E_X_sp"
"bn_ASV_001014"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"	"uncultured_marine_bacterium"
"en_ASV_01497"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Chaetoceros"	"Chaetoceros_setoense"
"en_ASV_01603"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"bn_ASV_001012"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bn_ASV_001043"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrionaceae_OM27"	"uncultured_bacterium"
"en_ASV_02131"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"Labyrinthulea"	"Thraustochytriales"	"Thraustochytriaceae"	"Thraustochytriaceae_X"	"Thraustochytriaceae_X_sp"
"bn_ASV_000967"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Porticoccaceae"	"SAR92_clade"	"uncultured_gamma_proteobacterium"
"bp_ASV_000212"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	"uncultured_bacterium"
"en_ASV_01609"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida_B"	"Strombidiida_B_X"	"Strombidiida_B_XX"	"Strombidiida_B_XX_sp"
"ep_ASV_00567"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"bn_ASV_000324"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Formosa"	"uncultured_Bacteroidetes_bacterium"
"bp_ASV_000368"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales_NS9"	"Flavobacteriales_NS9"	"uncultured_bacterium"
"en_ASV_00889"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"en_ASV_01543"	"Eukaryota"	"Hacrobia"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_XXX"	"Picozoa_XXXX"	"Picozoa_XXXX_sp"
"en_ASV_01915"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Pelagophyceae"	"Pelagophyceae_X"	"Pelagophyceae_XX"	"Pelagophyceae_XXX"	"Pelagophyceae_XXX_sp"
"ep_ASV_00750"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-26"	"Syndiniales-Group-II-Clade-26_X"	"Syndiniales-Group-II-Clade-26_X_sp"
"ep_ASV_00854"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Tontoniidae_B"	"Tontoniidae_B_X"	"Tontoniidae_B_X_sp"
"bn_ASV_000423"	"Bacteria"	"Actinobacteria"	"Actinobacteria_X"	"Actinobacteria_X"	"Micrococcales"	"Microbacteriaceae"	"DS001"	"marine_metagenome"
"bn_ASV_000591"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonadaceae_X"	"unidentified_marine_bacterioplankton"
"bn_ASV_000624"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacteraceae_X"	"uncultured_Arctic_sea_ice_bacterium"
"bp_ASV_000662"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales_NS9"	"Flavobacteriales_NS9"	"uncultured_marine_bacterium"
"bp_ASV_000676"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Thalassobaculales"	"Thalassobaculales_X"	"Thalassobaculales_X"	"uncultured_bacterium"
"bp_ASV_000713"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"unidentified_marine_bacterioplankton"
"en_ASV_01089"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Warnowiaceae"	"Warnowia"	"Warnowia_sp"
"en_ASV_01507"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-4"	"Syndiniales-Group-I-Clade-4_X"	"Syndiniales-Group-I-Clade-4_X_sp"
"ep_ASV_00710"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-8"	"Syndiniales-Group-II-Clade-8_X"	"Syndiniales-Group-II-Clade-8_X_sp"
"ep_ASV_00728"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Pelagophyceae"	"Pelagophyceae_X"	"Pelagophyceae_XX"	"Pelagophyceae_XXX"	"Pelagophyceae_XXX_sp"
"ep_ASV_00775"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MOCH"	"MOCH-3"	"MOCH-3_X"	"MOCH-3_XX"	"MOCH-3_XX_sp"
"ep_ASV_00787"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_01057"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000817"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Glycera_dibranchiata"
"bp_ASV_000723"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Litoricolaceae"	"Litoricola"	"uncultured_bacterium"
"en_ASV_01197"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Chlorodendrophyceae"	"Chlorodendrales"	"Chlorodendraceae"	"Tetraselmis"	"Tetraselmis_sp"
"en_ASV_01397"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Thalassiosira"	"Thalassiosira_concaviuscula"
"en_ASV_02049"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Thalassiosira"	"Thalassiosira_sp"
"ep_ASV_00392"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00407"	"Eukaryota"	"Hacrobia"	"Katablepharidophyta"	"Katablepharidaceae"	"Katablepharidales"	"Katablepharidales_X"	"Katablepharidales_XX"	"Katablepharidales_XX_sp"
"bn_ASV_000381"	"Bacteria"	"Actinobacteria"	"Actinobacteria_X"	"Actinobacteria_X"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"Pseudonocardia_carboxydivorans"
"bn_ASV_000695"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"uncultured_bacterium"
"bn_ASV_000762"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bp_ASV_000162"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonadaceae_X"	"uncultured_bacterium"
"en_ASV_00277"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Thoracosphaeraceae"	"Ensiculifera"	"Ensiculifera_imariensis"
"en_ASV_01306"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-1"	"MAST-1A"	"MAST-1A_X"	"MAST-1A_X_sp"
"en_ASV_01321"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Polar-centric-Mediophyceae_X"	"Polar-centric-Mediophyceae_X_sp"
"en_ASV_01465"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Choreotrichida"	"Leegaardiellidae_B"	"Leegaardiella"	"Leegaardiella_sp"
"en_ASV_01471"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"ep_ASV_01027"	"Eukaryota"	"Hacrobia"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_XXX"	"Picozoa_XXXX"	"Picozoa_XXXX_sp"
"ep_ASV_01100"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
"ep_ASV_01280"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000369"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Octadecabacter"	"Octadecabacter_sp._LPB0143"
"bn_ASV_000766"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"MWH-UniP1_aquatic_group"	"uncultured_marine_bacterium"
"bn_ASV_000774"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	"Pseudoalteromonas_haloplanktis_ANT/505"
"bn_ASV_001159"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS2b"	"uncultured_marine_bacterium"
"en_ASV_01691"	"Eukaryota"	"Hacrobia"	"Telonemia"	"Telonemia_X"	"Telonemia_XX"	"Telonemia-Group-2"	"Telonemia-Group-2_X"	"Telonemia-Group-2_X_sp"
"en_ASV_01850"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-1"	"MAST-1A"	"MAST-1A_X"	"MAST-1A_X_sp"
"en_ASV_01869"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00910"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-26"	"Syndiniales-Group-II-Clade-26_X"	"Syndiniales-Group-II-Clade-26_X_sp"
"ep_ASV_00926"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-6"	"Syndiniales-Group-II-Clade-6_X"	"Syndiniales-Group-II-Clade-6_X_sp"
"ep_ASV_00933"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-IV"	"Syndiniales-Group-IV-Syndinium-Group"	"Syndinium"	"Syndinium_sp"
"ep_ASV_01171"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"bn_ASV_000642"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS3a"	"uncultured_bacterium"
"bn_ASV_000807"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacteraceae_X"	"uncultured_bacterium"
"bn_ASV_000840"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavicella"	"uncultured_bacterium"
"bp_ASV_000265"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Planctomycetacia"	"Pirellulales"	"Pirellulaceae"	"Rubripirellula"	"uncultured_planctomycete_6N14"
"en_ASV_00605"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Thecofilosea"	"Cryomonadida"	"Protaspa-lineage"	"Protaspa-lineage_X"	"Protaspa-lineage_X_sp"
"en_ASV_01075"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
