ID	M1	D1	D2	DR1	D3	DR2	DR3	D4	D5	R2	R3	M2	DR4	R4	DR5	DR6	D6	D7	DR7	M3	R5	M5	M6	R6	D8	R7	M7	M8	R8
358	0.049523835	0.025846472	0.028017845	0.031049764	0.043554007	0.065425723	0.013197739	0.026882647	0.020494191	0.044796177	0.031223389	0.05052235	0.073748327	0.058539573	0.013331974	0.017889984	0.026412896	0.028191033	0.05932211	0.044391261	0.098980501	0.037472747	0.006710464	0.024267918	0.035827312	0.032745592	0.039063163	0.067817917	0.036430155
359	0.004015446	0	0.002873625	0.001411353	0	0.001072553	0	0.000689299	0.000401847	0.001244338	0.001892327	0	0.000910473	0.000900609	0	0.000715599	0	0.000640705	0.004494099	0.000965027	0.000824838	0.001703307	0	0	0.002239207	0.002015113	0.001698398	0.001654096	0.001550219
360	0.93760666	0.732038786	0.689670036	0.761424902	0.811688312	0.639777767	0.68848204	0.461140789	0.735781652	0.704295456	0.62636011	0.880287721	0.579060938	0.687164523	0.627387012	0.883049598	0.890269955	0.928381963	1.242169032	0.549100594	0.593883005	0.87890625	0.996503848	1.03543116	0.603093091	0.631738035	0.599534639	0.750959375	0.669694762
361	0.022084953	0.008337572	0.018678563	0.019758941	0.027716186	0.011798081	0.008431889	0.037911425	0.008438785	0.05723956	0.083262371	0.016269909	0.015478044	0.038726179	0.007842338	0.012165189	0.019421247	0.013454811	0.013482298	0.027020767	0.037942525	0.011355378	0.005368371	0.006066979	0.01268884	0.0302267	0.020380781	0.051276962	0.037205265
362	0.002007723	0	0	0.001411353	0.003959455	0.003217659	0.000366604	0.000689299	0.001205541	0.001244338	0.001892327	0	0	0.00720487	0	0.000715599	0	0.000640705	0.00089882	0.000965027	0.002474513	0.000567769	0	0	0	0.00302267	0	0.001654096	0
363	0.012715579	0.015007629	0.018678563	0.012702176	0.019797276	0.01501574	0.013197739	0.015853869	0.014466488	0.018665074	0.017977103	0.016269909	0.028224668	0.024316438	0.010979273	0.01144959	0.010099048	0.020502569	0.017077577	0.02991585	0.01649675	0.01021984	0.006710464	0.01145985	0.017913656	0.023677582	0.018682383	0.018195051	0.017827523
364	0.009369374	0.003335029	0.015086532	0.011290823	0.017817548	0.011798081	0.00476585	0.008271584	0.009644325	0.023642427	0.016084776	0.013700976	0.009104732	0.012608523	0.003136935	0.005009195	0.012429598	0.007688463	0.008988198	0.006755192	0.01649675	0.007380996	0.003355232	0.003370544	0.006717621	0.00906801	0.006793594	0.024811433	0.014727084
365	0.202110786	0.104219645	0.188222447	0.158071527	0.237567311	0.232743966	0.144075315	0.300534206	0.147477808	0.248867652	0.186394172	0.212365131	0.329591289	0.300803343	0.128614337	0.123798688	0.130510779	0.140955163	0.201335646	0.267312592	0.257349302	0.126612464	0.090591259	0.083589495	0.232504329	0.195969773	0.334584487	0.256384809	0.229432465
366	0.681287352	0.462735224	0.752889789	0.704970785	1.025498891	0.802805798	0.530475778	0.796829226	0.632908849	1.210741128	0.937647838	0.881144032	1.047954622	0.996073346	0.400743454	0.36352447	0.622256749	0.604185087	0.829610721	1.023894079	1.201788248	0.583098656	0.395917354	0.361322332	0.668776497	0.770277078	1.046213421	1.219068413	0.917729859
367	0.392175234	0.251794662	0.363513581	0.455866994	0.512749446	0.361986582	0.224728163	0.357745993	0.335943999	0.761535016	0.681237582	0.453844836	0.452505167	0.462912929	0.243112467	0.276936949	0.320838998	0.331244634	0.35683148	0.639813171	0.59553268	0.250953852	0.227484717	0.229197002	0.287738102	0.407052897	0.575757061	0.587203917	0.490644426
