"amendment"	"Soil_type"	"Treatment"	"Time"	"CO2flux"	"N2Oflux"	"CH4flux"	"NO3"	"NH4"	"TotalCadded"	"TotalNadded"	"pH"	"OM"	"gravimetricSM"	"nosZII"	"nosZI"	"fnirk"	"nirK"	"nirS"	"aoa"	"aob"	"pmoa"	"mcra"	"nifH"	"plant_heights"	"plant_leveas"	"plant_weight"
"X65dsandMFP2"	"MF"	"sandy"	"wheat"	65	-0.474175658	0.015400833	-0.096628229	0.4	1.67	NA	NA	5.65	4.76	5.925925926	1.466140707	6.162278017	0.383511289	2.620690897	0.899264601	1.062073063	0.850849125	2.34556214	1.635714722	1.321598485	33.25	35.5	18.27
"X65dsandCCnov1"	"Ccnov"	"sandy"	"No_plant"	65	0.018941025	0.439543784	-0.016952917	300.43	6.3	NA	NA	5.63	4.97	14.27586207	2.478255154	3.692350003	3.104035888	2.460338223	0.41068359	0.62089073	3.478812897	1.501843116	2.185244178	1.34024611	NA	NA	NA
"X65dsandDC1"	"DC"	"sandy"	"No_plant"	65	-0.009689524	0.045562465	-0.069158742	13.94	2.61	NA	NA	5.82	4.71	14.39205955	1.016284055	7.569843832	0.321951509	0.705906624	0.386177158	0.688463982	0.683335424	8.348462146	26.38945157	0.845858562	NA	NA	NA
"X65dsandCCnov4"	"Ccnov"	"sandy"	"No_plant"	65	0.021567167	0.041092223	-0.130877082	136.63	5.8	NA	NA	5.58	4.96	14.59497207	1.895756616	21.41081809	2.202287831	2.466991978	0.354889516	0.560262707	1.714655055	1.216940897	2.104027777	1.069521445	NA	NA	NA
"X65dsandSCP1"	"SC"	"sandy"	"wheat"	65	-0.303036397	0.045482461	-0.074404026	0.2	1.83	NA	NA	5.63	5.19	12.52236136	1.709265793	41.02248597	0.256371626	2.835406837	1.041380726	0.636938201	1.575019276	8.27788432	27.8873091	1.495025961	34.125	35	18.01
"X65dsandcontrol2"	"control65"	"sandy"	"No_plant"	65	-0.053632902	0.021941187	0.036201959	21.05	1.64	NA	NA	5.75	4.71	13.27054795	0.385361857	0.295684202	0.291128868	1.516549122	0	0.843985807	0.688438758	1.068144865	3.128935045	0.667278596	NA	NA	NA
"X65dsandcontrol4"	"control65"	"sandy"	"No_plant"	65	-0.075414081	0.013747744	-0.016321883	5.86	0.83	NA	NA	5.69	4.66	16.35883905	0.492543038	0.806125845	0.251512891	1.877890917	0	0.816547537	0.626602374	1.125762059	2.776537522	0.797394796	NA	NA	NA
"X65dsandDC2"	"DC"	"sandy"	"No_plant"	65	-0.056806074	0.040392186	0.003006463	6.87	1.4	NA	NA	5.86	4.87	13.54790419	1.046221648	7.117101963	0.184348729	1.068085736	0.508331707	0.59347032	0.697716979	3.078444311	20.42429491	0.851666707	NA	NA	NA
"X65dsandSC1"	"SC"	"sandy"	"No_plant"	65	0.012415672	0.027781503	-0.015644847	12.7	28.26	NA	NA	5.5	5.58	16.41791045	2.319246393	69.11207895	0.706105331	2.312774331	0.809960086	0.487953093	2.582756181	20.80711951	122.5203893	1.209706416	NA	NA	NA
"X65dsandCCnov2"	"Ccnov"	"sandy"	"No_plant"	65	0.000305817	0.022270205	-0.042205284	129.03	8.83	NA	NA	5.81	5.34	15.61488673	2.516662244	4.965315025	5.241631806	3.344854161	0.333482224	0.580486983	2.605168404	1.427253466	1.881046419	1.280439309	NA	NA	NA
"X65dsandCCnov3"	"Ccnov"	"sandy"	"No_plant"	65	-0.036026949	0.082133444	-0.0868517	101.12	3.85	NA	NA	5.56	5.17	15.43046358	1.861675956	10.70766022	2.097086053	2.104022313	0.201165623	0.501144894	2.533419876	1.650718475	2.008055066	1.029561965	NA	NA	NA
